row_id,id,event_date,firearm_name,range_name,rounds_fired,ammo_description,notes,created,modified
243,01KWG95NS9WE6Q3ZJ9C5405K87,2019-03-02 20:05:22.0886037,G17,Phoenix,75,124gr CamPro; 4.5gr HP-38,League night. slow to warm up,2026-07-02 02:05:22.0891423+00:00,2026-07-02 02:05:22.0891439+00:00
244,01KWG95NSA6VZKXBF531CACJBP,2019-03-06 20:05:22.0893548,G41,Phoenix,123,"230gr Campro, 6.0gr 800-X",variety. focus drills at 6& 8 yards. Bill drill at 5  yards,2026-07-02 02:05:22.0901895+00:00,2026-07-02 02:05:22.0901912+00:00
245,01KWG95NSA6VZKXBF531CACJBY,2019-03-06 20:05:22.0904515,G17,Phoenix,120,124gr CamPro; 4.5gr HP-38,Focus drills as 8 yards. draw & fire 3 rounds at 8 yards. need work on both,2026-07-02 02:05:22.0909926+00:00,2026-07-02 02:05:22.0909941+00:00
246,01KWG95NSCX1N04Z1YFYN1E4TF,2019-03-17 20:05:22.0917472,G17,Phoenix,230,124gr CamPro; 4.5gr HP-38,drop & present. slow fire at 8 & 10 yards. slow fire at 15 yards,2026-07-02 02:05:22.0924754+00:00,2026-07-02 02:05:22.0924776+00:00
247,01KWG95NSD34K437YASWRS04PB,2019-03-31 20:05:22.092834,STAG-10,SPFGA,40,147gr Norinco,Was trying to zero at 100m. Blasting for fun.,2026-07-02 02:05:22.0931761+00:00,2026-07-02 02:05:22.0931777+00:00
248,01KWG95NSD34K437YASWRS04PK,2019-03-31 20:05:22.0934244,STAG-10,SPFGA,44,"147g CamPro, 43.6gr IMR 4895","Zeroing the Strike Eagle @ 100m.
One 3rnd group was sub-MOA.  Seemed to get < 2MOA without much trying.  
Need to get used to the trigger.",2026-07-02 02:05:22.0937704+00:00,2026-07-02 02:05:22.0937722+00:00
249,01KWG95NSEA74ASS4TXC19W5KS,2019-04-06 20:05:22.0940075,Remington 597,Phoenix,300,Various .22LR,"Testing the groups on assorted ammo.  In order:  Sterling Cross, M22, Choot 'em, Remington.",2026-07-02 02:05:22.0947304+00:00,2026-07-02 02:05:22.0947322+00:00
250,01KWG95NSF8XWMGCJSDRVYSY11,2019-04-10 20:05:22.0949448,G17,Phoenix,200,124gr CamPro; 4.5gr HP-38,"One handed shooting, both strong hand and weak hand.  Very shakey with the left hand on the red dot",2026-07-02 02:05:22.0955537+00:00,2026-07-02 02:05:22.0955554+00:00
251,01KWG95NSGEC30R5GSR4TX1TB4,2019-04-13 20:05:22.0958989,STAG-10,CHAS,45,"147gr CamPro, 43,6gr IMR 4895",Excellent results on the long range: of the 6 metal targets didn't miss once.,2026-07-02 02:05:22.0962353+00:00,2026-07-02 02:05:22.096237+00:00
252,01KWG95NSHE38C1GKCR38ZAW6M,2019-04-13 20:05:22.0964525,G41,CHAS,80,"230gr CamPro, 6.0gr 800-X","",2026-07-02 02:05:22.0976733+00:00,2026-07-02 02:05:22.0976751+00:00
